pipeline_vec,dataset_name,action,attempts_to_pass,passed,util_if_pass
"[1, 1, 1]",adult,Similarity,4,True,0.05430101547522716
"[1, 1, 1]",adult,Prediction,1,True,0.05430101547522716
"[1, 2, 1]",adult,Similarity,23,False,
"[1, 2, 1]",adult,Prediction,23,False,
"[1, 3, 1]",adult,Similarity,23,False,
"[1, 3, 1]",adult,Prediction,23,False,
"[1, 4, 1]",adult,Similarity,23,False,
"[1, 4, 1]",adult,Prediction,23,False,
"[1, 5, 1]",adult,Similarity,23,False,
"[1, 5, 1]",adult,Prediction,23,False,
"[2, 1, 1]",adult,Similarity,2,True,0.05430101547522716
"[2, 1, 1]",adult,Prediction,1,True,0.05430101547522716
"[2, 2, 1]",adult,Similarity,1,True,0.05430101547522716
"[2, 2, 1]",adult,Prediction,1,True,0.05430101547522716
"[2, 3, 1]",adult,Similarity,1,True,0.05430101547522716
"[2, 3, 1]",adult,Prediction,1,True,0.05430101547522716
"[2, 4, 1]",adult,Similarity,1,True,0.05430101547522716
"[2, 4, 1]",adult,Prediction,1,True,0.05430101547522716
"[2, 5, 1]",adult,Similarity,1,True,0.05430101547522716
"[2, 5, 1]",adult,Prediction,1,True,0.05430101547522716
"[3, 1, 1]",adult,Similarity,2,True,0.05430101547522716
"[3, 1, 1]",adult,Prediction,1,True,0.05430101547522716
"[3, 2, 1]",adult,Similarity,1,True,0.05430101547522716
"[3, 2, 1]",adult,Prediction,1,True,0.05430101547522716
"[3, 3, 1]",adult,Similarity,1,True,0.05430101547522716
"[3, 3, 1]",adult,Prediction,1,True,0.05430101547522716
"[3, 4, 1]",adult,Similarity,1,True,0.05430101547522716
"[3, 4, 1]",adult,Prediction,1,True,0.05430101547522716
"[3, 5, 1]",adult,Similarity,1,True,0.05430101547522716
"[3, 5, 1]",adult,Prediction,1,True,0.05430101547522716
"[4, 1, 1]",adult,Similarity,2,True,0.05430101547522716
"[4, 1, 1]",adult,Prediction,1,True,0.05430101547522716
"[4, 2, 1]",adult,Similarity,1,True,0.05673767024901748
"[4, 2, 1]",adult,Prediction,1,True,0.05673767024901748
"[4, 3, 1]",adult,Similarity,1,True,0.05673767024901748
"[4, 3, 1]",adult,Prediction,1,True,0.05673767024901748
"[4, 4, 1]",adult,Similarity,1,True,0.05673767024901748
"[4, 4, 1]",adult,Prediction,1,True,0.05673767024901748
"[4, 5, 1]",adult,Similarity,1,True,0.05673767024901748
"[4, 5, 1]",adult,Prediction,1,True,0.05673767024901748
"[5, 1, 1]",adult,Similarity,2,True,0.05430101547522716
"[5, 1, 1]",adult,Prediction,1,True,0.05430101547522716
"[5, 2, 1]",adult,Similarity,1,True,0.05430101547522716
"[5, 2, 1]",adult,Prediction,1,True,0.05430101547522716
"[5, 3, 1]",adult,Similarity,1,True,0.05430101547522716
"[5, 3, 1]",adult,Prediction,1,True,0.05430101547522716
"[5, 4, 1]",adult,Similarity,1,True,0.05430101547522716
"[5, 4, 1]",adult,Prediction,1,True,0.05430101547522716
"[5, 5, 1]",adult,Similarity,1,True,0.05430101547522716
"[5, 5, 1]",adult,Prediction,1,True,0.05430101547522716
"[6, 1, 1]",adult,Similarity,2,True,0.05430101547522716
"[6, 1, 1]",adult,Prediction,1,True,0.05430101547522716
"[6, 2, 1]",adult,Similarity,1,True,0.05430101547522716
"[6, 2, 1]",adult,Prediction,1,True,0.05430101547522716
"[6, 3, 1]",adult,Similarity,1,True,0.05430101547522716
"[6, 3, 1]",adult,Prediction,1,True,0.05430101547522716
"[6, 4, 1]",adult,Similarity,1,True,0.05430101547522716
"[6, 4, 1]",adult,Prediction,1,True,0.05430101547522716
"[6, 5, 1]",adult,Similarity,1,True,0.05430101547522716
"[6, 5, 1]",adult,Prediction,1,True,0.05430101547522716
"[7, 1, 1]",adult,Similarity,2,True,0.05430101547522716
"[7, 1, 1]",adult,Prediction,1,True,0.05430101547522716
"[7, 2, 1]",adult,Similarity,1,True,0.05430101547522716
"[7, 2, 1]",adult,Prediction,1,True,0.05430101547522716
"[7, 3, 1]",adult,Similarity,1,True,0.05430101547522716
"[7, 3, 1]",adult,Prediction,1,True,0.05430101547522716
"[7, 4, 1]",adult,Similarity,1,True,0.05430101547522716
"[7, 4, 1]",adult,Prediction,1,True,0.05430101547522716
"[7, 5, 1]",adult,Similarity,1,True,0.05430101547522716
"[7, 5, 1]",adult,Prediction,1,True,0.05430101547522716
"[8, 1, 1]",adult,Similarity,2,True,0.05430101547522716
"[8, 1, 1]",adult,Prediction,1,True,0.05430101547522716
"[8, 2, 1]",adult,Similarity,1,True,0.05430101547522716
"[8, 2, 1]",adult,Prediction,1,True,0.05430101547522716
"[8, 3, 1]",adult,Similarity,1,True,0.05430101547522716
"[8, 3, 1]",adult,Prediction,1,True,0.05430101547522716
